prot	counter
Q9NYW0	12
Q9NYV9	11
P59538	11
P59539	11
Q96CE8	4
Q96A56	5
Q96A56-2	2
O75478	25
O75478-2	17
Q86TJ2	19
Q86TJ2-2	15
Q86TJ2-3	14
Q15543	5
Q15573	29
Q15573-2	24
Q9H5J8	14
O00268	37
Q9UI15	15
Q9H2K8	45
Q17R31	16
Q17R31-2	16
Q17R31-3	17
Q17R31-4	15
Q17R31-5	16
P10636	44
P10636-2	19
P10636-3	17
P10636-4	20
P10636-5	20
P10636-6	21
P10636-7	22
P10636-8	22
P10636-9	45
P68366	22
P68366-2	23
A6NHL2	25
A6NHL2-2	26
Q13509	21
Q13509-2	17
Q9NVG8	30
Q9NVG8-2	23
Q9NVG8-3	14
Q9HA65	26
Q9HA65-2	24
Q9HA65-3	27
Q9ULP9	30
Q9ULP9-2	29
Q2M2D7	13
O75347	7
O75347-2	7
Q99426	16
Q99426-2	14
Q9NVR7	35
Q9NVR7-2	27
Q15814	23
Q86TI0	68
Q86TI0-2	70
O60343	73
O60343-2	69
O60343-3	72
O60343-4	25
O60343-5	28
O95759	61
O95759-2	46
Q15813	37
Q15813-2	41
Q8TEA7	42
Q8TEA7-2	40
Q8TEA7-3	40
Q9UPU7	64
Q9UPU7-2	60
Q9UPU7-3	19
P23258	21
Q8WWU5	27
Q8WWU5-2	22
Q8WWU5-3	23
Q8WWU5-4	24
Q8WWU5-5	28
Q8WWU5-6	24
Q8WWU5-7	28
Q8TDR4	14
B9ZVM9	23
P49368	37
P49368-2	34
P40227	29
P40227-2	27
O14776	51
O14776-2	49
Q9HAU6	7
Q96MN5	15
Q96MN5-2	9
Q96PL2	16
Q8NA31	48
Q8NA31-2	36
Q8NA31-3	34
P54274	26
P54274-2	25
O43151	80
O43151-2	75
O43151-3	33
Q9BXU0	9
Q8NA69	32
A0A1B0GUA7	11
P32780	31
P32780-2	24
Q9NZI6	24
Q8WVM0	24
Q9H5Q4	26
P24752	26
P24752-2	12
Q99757	9
P10599	7
P10599-2	6
Q9UPZ6	86
Q9C0I4	82
Q9NS62	46
Q9NS62-2	46
Q9NS62-3	19
Q9BV44	27
Q9P016	17
Q9P016-2	11
Q12788	49
Q96SF7	22
